description,color,category,tokens_clean
"T-shirt - bisiklet yaka Yeni sezonun favori parçalarından biri olan bu t-shirt, deri görünümlü kumaşı sayesinde çift cepli ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, kolay ütülenir",pembe,t-shirt,"['tshirt', 'bisiklet', 'yaka', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'tshirt', 'deri', 'görünümlü', 'kumaşı', 'sayesinde', 'çift', 'cepli', 'kolay', 'ütülenir', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'kolay', 'ütülenir']"
"Pantolon - yüksek bel Bu özel tasarım pantolon, likralı kumaş yapısıyla çift cepli ve günlük kullanım için uygun. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun",beyaz,pantolon,"['pantolon', 'yüksek', 'bel', 'özel', 'tasarım', 'pantolon', 'likralı', 'kumaş', 'yapısıyla', 'çift', 'cepli', 'günlük', 'kullanım', 'uygun', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'günlük', 'kullanım', 'uygun']"
"Çanta - kapitoneli Çanta modeli, saten kumaştan üretilmiş olup kolay ütülenir, yumuşak doku, günlük kullanım için uygun ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: kolay ütülenir, yumuşak doku, günlük kullanım için uygun, düğmeli model",kırmızı,çanta,"['çanta', 'kapitoneli', 'çanta', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'kolay', 'ütülenir', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model']"
"Hırka - uzun Yeni sezonun favori parçalarından biri olan bu hırka, polyester kumaşı sayesinde nefes alabilir kumaş, yumuşak doku ve şık tasarım. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, yumuşak doku, şık tasarım",bej,hırka,"['hırka', 'uzun', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'hırka', 'polyester', 'kumaşı', 'sayesinde', 'nefes', 'alabilir', 'kumaş', 'yumuşak', 'doku', 'şık', 'tasarım', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'yumuşak', 'doku', 'şık', 'tasarım']"
"Bluz - kruvaze Bu özel tasarım bluz, deri görünümlü yapısıyla yumuşak doku ve çift cepli. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: yumuşak doku, çift cepli",yeşil,bluz,"['bluz', 'kruvaze', 'özel', 'tasarım', 'bluz', 'deri', 'görünümlü', 'yapısıyla', 'yumuşak', 'doku', 'çift', 'cepli', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'çift', 'cepli']"
"Pantolon - lastikli Yeni sezonun favori parçalarından biri olan bu pantolon, likralı kumaş kumaşı sayesinde günlük kullanım için uygun ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, çift cepli",siyah,pantolon,"['pantolon', 'lastikli', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'pantolon', 'likralı', 'kumaş', 'kumaşı', 'sayesinde', 'günlük', 'kullanım', 'uygun', 'çift', 'cepli', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'çift', 'cepli']"
"Etek - asimetri kesim Her gardıropta olması gereken bu etek, %100 pamuk içeriğiyle nefes alabilir kumaş, düğmeli model, şık tasarım ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, düğmeli model, şık tasarım, kolay ütülenir",beyaz,etek,"['etek', 'asimetri', 'kesim', 'gardıropta', 'olması', 'gereken', 'etek', 'pamuk', 'içeriğiyle', 'nefes', 'alabilir', 'kumaş', 'düğmeli', 'model', 'şık', 'tasarım', 'kolay', 'ütülenir', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'düğmeli', 'model', 'şık', 'tasarım', 'kolay', 'ütülenir']"
"Ceket - cepli Ceket modeli, örme kumaş kumaştan üretilmiş olup çift cepli, şık tasarım, esnek yapı ve düğmeli model. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, şık tasarım, esnek yapı, düğmeli model",mor,ceket,"['ceket', 'cepli', 'ceket', 'modeli', 'örme', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'çift', 'cepli', 'şık', 'tasarım', 'esnek', 'yapı', 'düğmeli', 'model', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'şık', 'tasarım', 'esnek', 'yapı', 'düğmeli', 'model']"
"T-shirt - oversize Yeni sezonun favori parçalarından biri olan bu t-shirt, örme kumaş kumaşı sayesinde çift cepli, esnek yapı ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, esnek yapı, şık tasarım",mavi,t-shirt,"['tshirt', 'oversize', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'tshirt', 'örme', 'kumaş', 'kumaşı', 'sayesinde', 'çift', 'cepli', 'esnek', 'yapı', 'şık', 'tasarım', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'esnek', 'yapı', 'şık', 'tasarım']"
"Gömlek - uzun kollu Her gardıropta olması gereken bu gömlek, deri görünümlü içeriğiyle rahat kalıp ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: rahat kalıp, kolay ütülenir",bej,gömlek,"['gömlek', 'uzun', 'kollu', 'gardıropta', 'olması', 'gereken', 'gömlek', 'deri', 'görünümlü', 'içeriğiyle', 'rahat', 'kalıp', 'kolay', 'ütülenir', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'rahat', 'kalıp', 'kolay', 'ütülenir']"
"Çanta - el çantası Yeni sezonun favori parçalarından biri olan bu çanta, %100 pamuk kumaşı sayesinde nefes alabilir kumaş, günlük kullanım için uygun ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun, çift cepli",yeşil,çanta,"['çanta', 'el', 'çantası', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'çanta', 'pamuk', 'kumaşı', 'sayesinde', 'nefes', 'alabilir', 'kumaş', 'günlük', 'kullanım', 'uygun', 'çift', 'cepli', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'günlük', 'kullanım', 'uygun', 'çift', 'cepli']"
"Pantolon - dar paça deri görünümlü tercih edilerek üretilen bu pantolon, yumuşak doku, düğmeli model, kolay ütülenir ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, düğmeli model, kolay ütülenir, esnek yapı",pembe,pantolon,"['pantolon', 'dar', 'paça', 'deri', 'görünümlü', 'tercih', 'edilerek', 'üretilen', 'pantolon', 'yumuşak', 'doku', 'düğmeli', 'model', 'kolay', 'ütülenir', 'esnek', 'yapı', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'düğmeli', 'model', 'kolay', 'ütülenir', 'esnek', 'yapı']"
"Gömlek - slim fit Her gardıropta olması gereken bu gömlek, deri görünümlü içeriğiyle günlük kullanım için uygun, yumuşak doku, rahat kalıp ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, rahat kalıp, kolay ütülenir",mavi,gömlek,"['gömlek', 'slim', 'fit', 'gardıropta', 'olması', 'gereken', 'gömlek', 'deri', 'görünümlü', 'içeriğiyle', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'rahat', 'kalıp', 'kolay', 'ütülenir', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'rahat', 'kalıp', 'kolay', 'ütülenir']"
"Çanta - el çantası Her gardıropta olması gereken bu çanta, polyester içeriğiyle düğmeli model, rahat kalıp ve kolay ütülenir. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, rahat kalıp, kolay ütülenir",lacivert,çanta,"['çanta', 'el', 'çantası', 'gardıropta', 'olması', 'gereken', 'çanta', 'polyester', 'içeriğiyle', 'düğmeli', 'model', 'rahat', 'kalıp', 'kolay', 'ütülenir', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'rahat', 'kalıp', 'kolay', 'ütülenir']"
"Hırka - cepli Her gardıropta olması gereken bu hırka, polyester içeriğiyle esnek yapı, nefes alabilir kumaş, kolay ütülenir ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, nefes alabilir kumaş, kolay ütülenir, düğmeli model",pembe,hırka,"['hırka', 'cepli', 'gardıropta', 'olması', 'gereken', 'hırka', 'polyester', 'içeriğiyle', 'esnek', 'yapı', 'nefes', 'alabilir', 'kumaş', 'kolay', 'ütülenir', 'düğmeli', 'model', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'nefes', 'alabilir', 'kumaş', 'kolay', 'ütülenir', 'düğmeli', 'model']"
"Etek - pileli Etek modeli, saten kumaştan üretilmiş olup rahat kalıp ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, çift cepli",mavi,etek,"['etek', 'pileli', 'etek', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'rahat', 'kalıp', 'çift', 'cepli', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'rahat', 'kalıp', 'çift', 'cepli']"
"T-shirt - bisiklet yaka Bu özel tasarım t-shirt, viskon yapısıyla kolay ütülenir, nefes alabilir kumaş, çift cepli ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, çift cepli, günlük kullanım için uygun",lacivert,t-shirt,"['tshirt', 'bisiklet', 'yaka', 'özel', 'tasarım', 'tshirt', 'viskon', 'yapısıyla', 'kolay', 'ütülenir', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli', 'günlük', 'kullanım', 'uygun', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli', 'günlük', 'kullanım', 'uygun']"
"Bluz - omzu açık Bu özel tasarım bluz, kot kumaş yapısıyla kolay ütülenir, rahat kalıp ve şık tasarım. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, rahat kalıp, şık tasarım",pembe,bluz,"['bluz', 'omzu', 'açık', 'özel', 'tasarım', 'bluz', 'kot', 'kumaş', 'yapısıyla', 'kolay', 'ütülenir', 'rahat', 'kalıp', 'şık', 'tasarım', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'rahat', 'kalıp', 'şık', 'tasarım']"
"Hırka - örgü Hırka modeli, viskon kumaştan üretilmiş olup esnek yapı ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: esnek yapı, şık tasarım",gri,hırka,"['hırka', 'örgü', 'hırka', 'modeli', 'viskon', 'kumaştan', 'üretilmiş', 'olup', 'esnek', 'yapı', 'şık', 'tasarım', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'şık', 'tasarım']"
"Gömlek - klasik yaka Gömlek modeli, polyester kumaştan üretilmiş olup nefes alabilir kumaş, düğmeli model, günlük kullanım için uygun ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: nefes alabilir kumaş, düğmeli model, günlük kullanım için uygun, şık tasarım",mor,gömlek,"['gömlek', 'klasik', 'yaka', 'gömlek', 'modeli', 'polyester', 'kumaştan', 'üretilmiş', 'olup', 'nefes', 'alabilir', 'kumaş', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım']"
"Sweatshirt - baskılı likralı kumaş tercih edilerek üretilen bu sweatshirt, şık tasarım ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: şık tasarım, nefes alabilir kumaş",gri,sweatshirt,"['sweatshirt', 'baskılı', 'likralı', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'sweatshirt', 'şık', 'tasarım', 'nefes', 'alabilir', 'kumaş', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'nefes', 'alabilir', 'kumaş']"
"Ceket - astar detaylı Her gardıropta olması gereken bu ceket, viskon içeriğiyle rahat kalıp, günlük kullanım için uygun, yumuşak doku ve nefes alabilir kumaş. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: rahat kalıp, günlük kullanım için uygun, yumuşak doku, nefes alabilir kumaş",beyaz,ceket,"['ceket', 'astar', 'detaylı', 'gardıropta', 'olması', 'gereken', 'ceket', 'viskon', 'içeriğiyle', 'rahat', 'kalıp', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'rahat', 'kalıp', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş']"
"Sweatshirt - baskılı Sweatshirt modeli, likralı kumaş kumaştan üretilmiş olup esnek yapı, günlük kullanım için uygun, düğmeli model ve yumuşak doku. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: esnek yapı, günlük kullanım için uygun, düğmeli model, yumuşak doku",gri,sweatshirt,"['sweatshirt', 'baskılı', 'sweatshirt', 'modeli', 'likralı', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'esnek', 'yapı', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'yumuşak', 'doku', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'yumuşak', 'doku']"
"Hırka - cepli Hırka modeli, likralı kumaş kumaştan üretilmiş olup çift cepli, yumuşak doku ve nefes alabilir kumaş. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, yumuşak doku, nefes alabilir kumaş",yeşil,hırka,"['hırka', 'cepli', 'hırka', 'modeli', 'likralı', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'çift', 'cepli', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş']"
"Hırka - düğmeli kot kumaş tercih edilerek üretilen bu hırka, yumuşak doku, rahat kalıp, çift cepli ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, rahat kalıp, çift cepli, nefes alabilir kumaş",kırmızı,hırka,"['hırka', 'düğmeli', 'kot', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'hırka', 'yumuşak', 'doku', 'rahat', 'kalıp', 'çift', 'cepli', 'nefes', 'alabilir', 'kumaş', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'rahat', 'kalıp', 'çift', 'cepli', 'nefes', 'alabilir', 'kumaş']"
