description,color,category
"Bluz - dantel detaylı Yeni sezonun favori parçalarından biri olan bu bluz, saten kumaşı sayesinde şık tasarım, nefes alabilir kumaş, yumuşak doku ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, nefes alabilir kumaş, yumuşak doku, çift cepli",mor,bluz
"Bluz - volanlı Yeni sezonun favori parçalarından biri olan bu bluz, örme kumaş kumaşı sayesinde rahat kalıp, çift cepli ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, çift cepli, esnek yapı",lacivert,bluz
"T-shirt - oversize Bu özel tasarım t-shirt, kot kumaş yapısıyla nefes alabilir kumaş, günlük kullanım için uygun ve rahat kalıp. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun, rahat kalıp",lacivert,t-shirt
"Pantolon - yüksek bel saten tercih edilerek üretilen bu pantolon, yumuşak doku ve kolay ütülenir. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, kolay ütülenir",lacivert,pantolon
"Çanta - kapitoneli Çanta modeli, likralı kumaş kumaştan üretilmiş olup esnek yapı, kolay ütülenir ve yumuşak doku. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, kolay ütülenir, yumuşak doku",siyah,çanta
"Pantolon - dar paça Pantolon modeli, viskon kumaştan üretilmiş olup yumuşak doku ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, kolay ütülenir",lacivert,pantolon
"Sweatshirt - baskılı Bu özel tasarım sweatshirt, deri görünümlü yapısıyla kolay ütülenir ve yumuşak doku. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, yumuşak doku",pembe,sweatshirt
"Ceket - astar detaylı Her gardıropta olması gereken bu ceket, deri görünümlü içeriğiyle düğmeli model ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, şık tasarım",mavi,ceket
"Etek - kalem Yeni sezonun favori parçalarından biri olan bu etek, deri görünümlü kumaşı sayesinde esnek yapı, çift cepli ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, çift cepli, düğmeli model",mor,etek
"Etek - kalem Bu özel tasarım etek, örme kumaş yapısıyla esnek yapı, rahat kalıp, yumuşak doku ve kolay ütülenir. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: esnek yapı, rahat kalıp, yumuşak doku, kolay ütülenir",mor,etek
"Hırka - örgü Her gardıropta olması gereken bu hırka, viskon içeriğiyle düğmeli model ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, nefes alabilir kumaş",beyaz,hırka
"Gömlek - düğmeli Gömlek modeli, örme kumaş kumaştan üretilmiş olup düğmeli model, yumuşak doku ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: düğmeli model, yumuşak doku, şık tasarım",bej,gömlek
"Çanta - el çantası Yeni sezonun favori parçalarından biri olan bu çanta, saten kumaşı sayesinde günlük kullanım için uygun, kolay ütülenir ve rahat kalıp. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, kolay ütülenir, rahat kalıp",beyaz,çanta
"Hırka - örgü %100 pamuk tercih edilerek üretilen bu hırka, çift cepli, şık tasarım, rahat kalıp ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, şık tasarım, rahat kalıp, esnek yapı",beyaz,hırka
"Çanta - el çantası saten tercih edilerek üretilen bu çanta, nefes alabilir kumaş, şık tasarım, yumuşak doku ve düğmeli model. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: nefes alabilir kumaş, şık tasarım, yumuşak doku, düğmeli model",lacivert,çanta
"Ceket - düğmeli Bu özel tasarım ceket, viskon yapısıyla düğmeli model, esnek yapı, nefes alabilir kumaş ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, esnek yapı, nefes alabilir kumaş, rahat kalıp",mavi,ceket
"Gömlek - düğmeli Gömlek modeli, deri görünümlü kumaştan üretilmiş olup çift cepli ve günlük kullanım için uygun. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun",beyaz,gömlek
"Bluz - volanlı Bluz modeli, likralı kumaş kumaştan üretilmiş olup kolay ütülenir, günlük kullanım için uygun ve yumuşak doku. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, günlük kullanım için uygun, yumuşak doku",siyah,bluz
"Gömlek - düğmeli Her gardıropta olması gereken bu gömlek, örme kumaş içeriğiyle esnek yapı, düğmeli model, rahat kalıp ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, düğmeli model, rahat kalıp, nefes alabilir kumaş",pembe,gömlek
"Sweatshirt - baskılı Sweatshirt modeli, viskon kumaştan üretilmiş olup yumuşak doku, rahat kalıp, günlük kullanım için uygun ve şık tasarım. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, rahat kalıp, günlük kullanım için uygun, şık tasarım",mor,sweatshirt
"Pantolon - rahat kesim Yeni sezonun favori parçalarından biri olan bu pantolon, örme kumaş kumaşı sayesinde kolay ütülenir ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, düğmeli model",mavi,pantolon
"Elbise - uzun Yeni sezonun favori parçalarından biri olan bu elbise, polyester kumaşı sayesinde yumuşak doku ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, kolay ütülenir",lacivert,elbise
"Bluz - kruvaze Bu özel tasarım bluz, örme kumaş yapısıyla nefes alabilir kumaş, çift cepli, şık tasarım ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, çift cepli, şık tasarım, günlük kullanım için uygun",mavi,bluz
"Gömlek - slim fit Yeni sezonun favori parçalarından biri olan bu gömlek, saten kumaşı sayesinde nefes alabilir kumaş, günlük kullanım için uygun, esnek yapı ve yumuşak doku. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun, esnek yapı, yumuşak doku",gri,gömlek
"Bluz - omzu açık Bu özel tasarım bluz, viskon yapısıyla düğmeli model, günlük kullanım için uygun, rahat kalıp ve esnek yapı. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun, rahat kalıp, esnek yapı",kırmızı,bluz
"Ceket - cepli Yeni sezonun favori parçalarından biri olan bu ceket, deri görünümlü kumaşı sayesinde şık tasarım, rahat kalıp ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, rahat kalıp, düğmeli model",gri,ceket
"Gömlek - uzun kollu Yeni sezonun favori parçalarından biri olan bu gömlek, viskon kumaşı sayesinde nefes alabilir kumaş ve şık tasarım. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, şık tasarım",pembe,gömlek
"Çanta - el çantası Her gardıropta olması gereken bu çanta, likralı kumaş içeriğiyle şık tasarım, çift cepli, nefes alabilir kumaş ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: şık tasarım, çift cepli, nefes alabilir kumaş, günlük kullanım için uygun",pembe,çanta
"Etek - pileli Etek modeli, saten kumaştan üretilmiş olup yumuşak doku, kolay ütülenir ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, kolay ütülenir, düğmeli model",siyah,etek
"Hırka - cepli %100 pamuk tercih edilerek üretilen bu hırka, yumuşak doku ve şık tasarım. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, şık tasarım",siyah,hırka
"Elbise - v yaka Yeni sezonun favori parçalarından biri olan bu elbise, deri görünümlü kumaşı sayesinde nefes alabilir kumaş, esnek yapı ve rahat kalıp. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, esnek yapı, rahat kalıp",bej,elbise
"T-shirt - bisiklet yaka Her gardıropta olması gereken bu t-shirt, saten içeriğiyle nefes alabilir kumaş, kolay ütülenir, çift cepli ve rahat kalıp. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir, çift cepli, rahat kalıp",mor,t-shirt
"Ceket - düğmeli likralı kumaş tercih edilerek üretilen bu ceket, kolay ütülenir, şık tasarım ve rahat kalıp. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, şık tasarım, rahat kalıp",mor,ceket
"Gömlek - düğmeli Bu özel tasarım gömlek, polyester yapısıyla kolay ütülenir, esnek yapı, nefes alabilir kumaş ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, esnek yapı, nefes alabilir kumaş, rahat kalıp",siyah,gömlek
"Sweatshirt - fermuarlı %100 pamuk tercih edilerek üretilen bu sweatshirt, yumuşak doku ve şık tasarım. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, şık tasarım",beyaz,sweatshirt
"Pantolon - rahat kesim Yeni sezonun favori parçalarından biri olan bu pantolon, kot kumaş kumaşı sayesinde şık tasarım ve çift cepli. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: şık tasarım, çift cepli",mavi,pantolon
"Bluz - omzu açık Her gardıropta olması gereken bu bluz, örme kumaş içeriğiyle düğmeli model, esnek yapı ve nefes alabilir kumaş. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, esnek yapı, nefes alabilir kumaş",mor,bluz
"Ceket - düğmeli örme kumaş tercih edilerek üretilen bu ceket, günlük kullanım için uygun, çift cepli ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: günlük kullanım için uygun, çift cepli, şık tasarım",gri,ceket
"Sweatshirt - baskılı saten tercih edilerek üretilen bu sweatshirt, düğmeli model ve nefes alabilir kumaş. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: düğmeli model, nefes alabilir kumaş",beyaz,sweatshirt
"Çanta - el çantası deri görünümlü tercih edilerek üretilen bu çanta, çift cepli, nefes alabilir kumaş, günlük kullanım için uygun ve şık tasarım. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, nefes alabilir kumaş, günlük kullanım için uygun, şık tasarım",siyah,çanta
"Pantolon - rahat kesim kot kumaş tercih edilerek üretilen bu pantolon, düğmeli model, rahat kalıp, şık tasarım ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, rahat kalıp, şık tasarım, esnek yapı",pembe,pantolon
"Etek - pileli Etek modeli, kot kumaş kumaştan üretilmiş olup çift cepli, yumuşak doku ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, yumuşak doku, günlük kullanım için uygun",lacivert,etek
"Bluz - kruvaze Her gardıropta olması gereken bu bluz, kot kumaş içeriğiyle düğmeli model, rahat kalıp, kolay ütülenir ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, rahat kalıp, kolay ütülenir, şık tasarım",lacivert,bluz
"Bluz - omzu açık Bluz modeli, viskon kumaştan üretilmiş olup nefes alabilir kumaş, günlük kullanım için uygun ve kolay ütülenir. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun, kolay ütülenir",siyah,bluz
"Gömlek - uzun kollu Yeni sezonun favori parçalarından biri olan bu gömlek, likralı kumaş kumaşı sayesinde rahat kalıp ve düğmeli model. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: rahat kalıp, düğmeli model",kırmızı,gömlek
"Gömlek - klasik yaka Gömlek modeli, örme kumaş kumaştan üretilmiş olup kolay ütülenir, rahat kalıp, esnek yapı ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: kolay ütülenir, rahat kalıp, esnek yapı, çift cepli",pembe,gömlek
